"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"17 ";"18 ";"14 ";"WHV-L-06-M 10x1-SC ";"79,57 ";"L ";"6742 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"19 ";"22 ";"17 ";"WHV-L-08-M 12x1,5-SC ";"84,8 ";"L ";"6743 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"19 ";"22 ";"19 ";"WHV-L-10-M 14x1,5-SC ";"89,92 ";"L ";"6744 "
"315 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"24 ";"27 ";"22 ";"WHV-L-12-M 16x1,5-SC ";"102,82 ";"L ";"6745 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27 ";"30 ";"27 ";"WHV-L-15-M 18x1,5-SC ";"131,46 ";"L ";"6746 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"30 ";"32 ";"32 ";"WHV-L-18-M 22x1,5-SC ";"165,26 ";"L ";"6747 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"36 ";"40 ";"36 ";"WHV-L-22-M 26x1,5-SC ";"259,97 ";"L ";"6748 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"46 ";"50 ";"41 ";"WHV-L-28-M 33x2-SC ";"395,7 ";"L ";"6749 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"55 ";"60 ";"50 ";"WHV-L-35-M 42x2-SC ";"599,38 ";"L ";"6750 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"60 ";"70 ";"60 ";"WHV-L-42-M 48x2-SC ";"855,63 ";"L ";"6751 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"17 ";"WHV-S-06-M 12x1,5-SC ";"84,8 ";"S ";"6752 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"19 ";"WHV-S-08-M 14x1,5-SC ";"92,47 ";"S ";"6753 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"24 ";"27 ";"22 ";"WHV-S-10-M 16x1,5-SC ";"105,38 ";"S ";"6754 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"27 ";"30 ";"24 ";"WHV-S-12-M 18x1,5-SC ";"121 ";"S ";"6755 "
"400 ";"14 ";"M 20 x 1,5 ";"22,5 ";"43,5 ";"30 ";"32 ";"27 ";"WHV-S-14-M 20x1,5-SC ";"142,17 ";"S ";"6756 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"30 ";"32 ";"30 ";"WHV-S-16-M 22x1,5-SC ";"180,51 ";"S ";"6757 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"36 ";"40 ";"36 ";"WHV-S-20-M 27x2-SC ";"265,2 ";"S ";"6758 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"46 ";"50 ";"46 ";"WHV-S-25-M 33x2-SC ";"381,36 ";"S ";"6759 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"55 ";"60 ";"50 ";"WHV-S-30-M 42x2-SC ";"620,28 ";"S ";"6760 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"60 ";"70 ";"60 ";"WHV-S-38-M 48x2-SC ";"897,86 ";"S ";"6761 "
