"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EW-DKOL-06-M 10x1-wd-SC ";"29,71 ";"L ";"8621 "
"500 ";"8 ";"M 12 x 1,5 ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"EW-DKOL-08-M 12x1,5-wd-SC ";"31,77 ";"L ";"8622 "
"500 ";"10 ";"M 14 x 1,5 ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EW-DKOL-10-M 14x1,5-wd-SC ";"38,93 ";"L ";"8623 "
"400 ";"12 ";"M 16 x 1,5 ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EW-DKOL-12-M 16x1,5-wd-SC ";"44,12 ";"L ";"8624 "
"400 ";"15 ";"M 18 x 1,5 ";"36 ";"21,0 ";"46,0 ";"32,5 ";"12 ";"24 ";"19 ";"27 ";"EW-DKOL-15-M 18x1,5-wd-SC ";"52,56 ";"L ";"8625 "
"400 ";"18 ";"M 22 x 1,5 ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EW-DKOL-18-M 22x1,5-wd-SC ";"77,08 ";"L ";"8626 "
"250 ";"22 ";"M 26 x 1,5 ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EW-DKOL-22-M 26x1,5-wd-SC ";"99,09 ";"L ";"8627 "
"250 ";"28 ";"M 33 x 2 ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"EW-DKOL-28-M 33x2-wd-SC ";"152,68 ";"L ";"8628 "
"250 ";"35 ";"M 42 x 2 ";"56 ";"34,5 ";"68,5 ";"51,0 ";"20 ";"50 ";"41 ";"50 ";"EW-DKOL-35-M 42x2-wd-SC ";"205,79 ";"L ";"8629 "
"250 ";"42 ";"M 48 x 2 ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EW-DKOL-42-M 48x2-wd-SC ";"304,12 ";"L ";"8630 "
"800 ";"6 ";"M 12 x 1,5 ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"17 ";"12 ";"17 ";"EW-DKOS-06-M 12x1,5-wd-SC ";"35,54 ";"S ";"8631 "
"800 ";"8 ";"M 14 x 1,5 ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EW-DKOS-08-M 14x1,5-wd-SC ";"39,84 ";"S ";"8632 "
"800 ";"10 ";"M 16 x 1,5 ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EW-DKOS-10-M 16x1,5-wd-SC ";"46,4 ";"S ";"8633 "
"630 ";"12 ";"M 18 x 1,5 ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"24 ";"17 ";"24 ";"EW-DKOS-12-M 18x1,5-wd-SC ";"52,43 ";"S ";"8634 "
"630 ";"14 ";"M 20 x 1,5 ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EW-DKOS-14-M 20x1,5-wd-SC ";"63,91 ";"S ";"8635 "
"630 ";"16 ";"M 22 x 1,5 ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EW-DKOS-16-M 22x1,5-wd-SC ";"80,27 ";"S ";"8636 "
"420 ";"20 ";"M 27 x 2 ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EW-DKOS-20-M 27x2-wd-SC ";"105,67 ";"S ";"8637 "
"420 ";"25 ";"M 33 x 2 ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EW-DKOS-25-M 33x2-wd-SC ";"168,97 ";"S ";"8638 "
"420 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EW-DKOS-30-M 42x2-wd-SC ";"223,84 ";"S ";"8639 "
"420 ";"38 ";"M 48 x 2 ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EW-DKOS-38-M 48x2-wd-SC ";"314,8 ";"S ";"8640 "
