"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EVL-L-06-M 10x1 ";"33,74 ";"L ";"7412 "
"315 ";"8 ";"M 12 x 1,5 ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"EVL-L-08-M 12x1,5 ";"38,36 ";"L ";"7413 "
"315 ";"10 ";"M 14 x 1,5 ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EVL-L-10-M 14x1,5 ";"42,45 ";"L ";"7414 "
"315 ";"12 ";"M 16 x 1,5 ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EVL-L-12-M 16x1,5 ";"50,79 ";"L ";"7415 "
"315 ";"15 ";"M 18 x 1,5 ";"36 ";"21,0 ";"46,0 ";"32,5 ";"12 ";"24 ";"19 ";"27 ";"EVL-L-15-M 18x1,5 ";"67,07 ";"L ";"7416 "
"315 ";"18 ";"M 22 x 1,5 ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EVL-L-18-M 22x1,5 ";"106,63 ";"L ";"7417 "
"160 ";"22 ";"M 26 x 1,5 ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EVL-L-22-M 26x1,5 ";"116,6 ";"L ";"7418 "
"160 ";"28 ";"M 33 x 2 ";"47 ";"30,5 ";"61,0 ";"43,5 ";"18 ";"41 ";"36 ";"41 ";"EVL-L-28-M 33x2 ";"199,64 ";"L ";"7419 "
"160 ";"35 ";"M 42 x 2 ";"56 ";"34,5 ";"71,5 ";"54,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-L-35-M 42x2 ";"285,66 ";"L ";"7420 "
"160 ";"42 ";"M 48 x 2 ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-L-42-M 48x2 ";"376,5 ";"L ";"7421 "
"630 ";"6 ";"M 12 x 1,5 ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"17 ";"12 ";"17 ";"EVL-S-06-M 12x1,5 ";"38,68 ";"S ";"7422 "
"630 ";"8 ";"M 14 x 1,5 ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EVL-S-08-M 14x1,5 ";"43,56 ";"S ";"7423 "
"630 ";"10 ";"M 16 x 1,5 ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EVL-S-10-M 16x1,5 ";"54,02 ";"S ";"7424 "
"630 ";"12 ";"M 18 x 1,5 ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"24 ";"17 ";"24 ";"EVL-S-12-M 18x1,5 ";"59,57 ";"S ";"7425 "
"630 ";"14 ";"M 20 x 1,5 ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EVL-S-14-M 20x1,5 ";"69,89 ";"S ";"7426 "
"400 ";"16 ";"M 22 x 1,5 ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EVL-S-16-M 22x1,5 ";"107,35 ";"S ";"7427 "
"400 ";"20 ";"M 27 x 2 ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EVL-S-20-M 27x2 ";"133,24 ";"S ";"7428 "
"400 ";"25 ";"M 33 x 2 ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EVL-S-25-M 33x2 ";"214,92 ";"S ";"7429 "
"400 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-S-30-M 42x2 ";"264,16 ";"S ";"7430 "
"250 ";"38 ";"M 48 x 2 ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-S-38-M 48x2 ";"375,19 ";"S ";"7431 "
