"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EVW-L-06-M 10x1-SC ";"22,95 ";"L ";"7072 "
"315 ";"8 ";"M 12 x 1,5 ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"EVW-L-08-M 12x1,5-SC ";"25,36 ";"L ";"7073 "
"315 ";"10 ";"M 14 x 1,5 ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EVW-L-10-M 14x1,5-SC ";"31,41 ";"L ";"7074 "
"315 ";"12 ";"M 16 x 1,5 ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EVW-L-12-M 16x1,5-SC ";"37,98 ";"L ";"7075 "
"315 ";"15 ";"M 18 x 1,5 ";"36 ";"21,0 ";"46,0 ";"32,5 ";"12 ";"24 ";"19 ";"27 ";"EVW-L-15-M 18x1,5-SC ";"49,73 ";"L ";"7076 "
"315 ";"18 ";"M 22 x 1,5 ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EVW-L-18-M 22x1,5-SC ";"70,64 ";"L ";"7077 "
"160 ";"22 ";"M 26 x 1,5 ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EVW-L-22-M 26x1,5-SC ";"86,89 ";"L ";"7078 "
"160 ";"28 ";"M 33 x 2 ";"47 ";"30,5 ";"61,0 ";"43,5 ";"18 ";"41 ";"36 ";"41 ";"EVW-L-28-M 33x2-SC ";"126,94 ";"L ";"7079 "
"160 ";"35 ";"M 42 x 2 ";"56 ";"34,5 ";"71,5 ";"54,0 ";"20 ";"50 ";"41 ";"50 ";"EVW-L-35-M 42x2-SC ";"180,62 ";"L ";"7080 "
"160 ";"42 ";"M 48 x 2 ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EVW-L-42-M 48x2-SC ";"254,75 ";"L ";"7081 "
"630 ";"6 ";"M 12 x 1,5 ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"17 ";"12 ";"17 ";"EVW-S-06-M 12x1,5-SC ";"29,54 ";"S ";"7082 "
"630 ";"8 ";"M 14 x 1,5 ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EVW-S-08-M 14x1,5-SC ";"34,24 ";"S ";"7083 "
"630 ";"10 ";"M 16 x 1,5 ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EVW-S-10-M 16x1,5-SC ";"39,08 ";"S ";"7084 "
"630 ";"12 ";"M 18 x 1,5 ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"24 ";"17 ";"24 ";"EVW-S-12-M 18x1,5-SC ";"45,24 ";"S ";"7085 "
"630 ";"14 ";"M 20 x 1,5 ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EVW-S-14-M 20x1,5-SC ";"55,66 ";"S ";"7086 "
"400 ";"16 ";"M 22 x 1,5 ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EVW-S-16-M 22x1,5-SC ";"70,59 ";"S ";"7087 "
"400 ";"20 ";"M 27 x 2 ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EVW-S-20-M 27x2-SC ";"90,04 ";"S ";"7088 "
"400 ";"25 ";"M 33 x 2 ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EVW-S-25-M 33x2-SC ";"136,56 ";"S ";"7089 "
"400 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EVW-S-30-M 42x2-SC ";"185,56 ";"S ";"7090 "
"250 ";"38 ";"M 48 x 2 ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EVW-S-38-M 48x2-SC ";"261,2 ";"S ";"7091 "
