"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"160 ";"22 ";"G 3/4'' zyl ";"27,5 ";"26 ";"35,0 ";"16 ";"27 ";"LE-L-22-R 3/4''-z-OMD ";"66,81 ";"L ";"5769 "
"160 ";"28 ";"G 1'' zyl ";"30,5 ";"30 ";"38,0 ";"18 ";"36 ";"LE-L-28-R 1''-z-OMD ";"115 ";"L ";"5770 "
"160 ";"35 ";"G 1 1/4'' zyl ";"34,5 ";"34 ";"45,0 ";"20 ";"41 ";"LE-L-35-R 1 1/4''-z-OMD ";"227,23 ";"L ";"5771 "
"160 ";"42 ";"G 1 1/2'' zyl ";"40,0 ";"39 ";"51,0 ";"22 ";"50 ";"LE-L-42-R 1 1/2''-z-OMD ";"226,35 ";"L ";"5772 "
"400 ";"20 ";"G 3/4'' zyl ";"26,5 ";"26 ";"37,0 ";"16 ";"27 ";"LE-S-20-R 3/4''-z-OMD ";"66,27 ";"S ";"5773 "
"250 ";"25 ";"G 1'' zyl ";"30,0 ";"30 ";"42,0 ";"18 ";"36 ";"LE-S-25-R 1''-z-OMD ";"115,64 ";"S ";"5774 "
"160 ";"30 ";"G 1 1/4'' zyl ";"35,5 ";"34 ";"49,0 ";"20 ";"41 ";"LE-S-30-R 1 1/4''-z-OMD ";"157,64 ";"S ";"5775 "
"160 ";"38 ";"G 1 1/2'' zyl ";"41,0 ";"39 ";"57,0 ";"22 ";"50 ";"LE-S-38-R 1 1/2''-z-OMD ";"312,53 ";"S ";"5776 "
