"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"ET-DKOL-06-G 1/8''-wd ";"43,53 ";"L ";"8850 "
"500 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOL-08-G 1/4''-wd ";"45,9 ";"L ";"8851 "
"500 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOL-10-G 1/4''-wd ";"55,6 ";"L ";"8852 "
"400 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOL-12-G 3/8''-wd ";"61,5 ";"L ";"8853 "
"400 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,5 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOL-15-G 1/2''-wd ";"83,36 ";"L ";"8854 "
"400 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"ET-DKOL-18-G 1/2''-wd ";"107,35 ";"L ";"8855 "
"250 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"65,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOL-22-G 3/4''-wd ";"128,21 ";"L ";"8856 "
"250 ";"28 ";"G 1'' ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"ET-DKOL-28-G 1''-wd ";"221,78 ";"L ";"8857 "
"250 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"68,5 ";"51,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOL-35-G 1 1/4''-wd ";"315,32 ";"L ";"8858 "
"250 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOL-42-G 1 1/2''-wd ";"425,07 ";"L ";"8859 "
"800 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"ET-DKOS-06-G 1/4''-wd ";"47,5 ";"S ";"8860 "
"800 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOS-08-G 1/4''-wd ";"50,11 ";"S ";"8861 "
"800 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOS-10-G 3/8''-wd ";"62,48 ";"S ";"8862 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"ET-DKOS-12-G 3/8''-wd ";"67,75 ";"S ";"8863 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOS-14-G 1/2''-wd ";"87,36 ";"S ";"8864 "
"630 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"ET-DKOS-16-G 1/2''-wd ";"110,93 ";"S ";"8865 "
"420 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOS-20-G 3/4''-wd ";"141,17 ";"S ";"8866 "
"420 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"ET-DKOS-25-G 1''-wd ";"225,28 ";"S ";"8867 "
"420 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOS-30-G 1 1/4''-wd ";"288,71 ";"S ";"8868 "
"420 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOS-38-G 1 1/2''-wd ";"429,7 ";"S ";"8869 "
