"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EVT-L-06-M 10x1-SC ";"34,7 ";"L ";"7252 "
"315 ";"8 ";"M 12 x 1,5 ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"EVT-L-08-M 12x1,5-SC ";"39,68 ";"L ";"7253 "
"315 ";"10 ";"M 14 x 1,5 ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EVT-L-10-M 14x1,5-SC ";"43,77 ";"L ";"7254 "
"315 ";"12 ";"M 16 x 1,5 ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EVT-L-12-M 16x1,5-SC ";"50,91 ";"L ";"7255 "
"315 ";"15 ";"M 18 x 1,5 ";"36 ";"21,0 ";"46,0 ";"32,5 ";"12 ";"24 ";"19 ";"27 ";"EVT-L-15-M 18x1,5-SC ";"68,29 ";"L ";"7256 "
"315 ";"18 ";"M 22 x 1,5 ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EVT-L-18-M 22x1,5-SC ";"96,21 ";"L ";"7257 "
"160 ";"22 ";"M 26 x 1,5 ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EVT-L-22-M 26x1,5-SC ";"109,1 ";"L ";"7258 "
"160 ";"28 ";"M 33 x 2 ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"EVT-L-28-M 33x2-SC ";"172,4 ";"L ";"7259 "
"160 ";"35 ";"M 42 x 2 ";"56 ";"34,5 ";"71,5 ";"54,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-L-35-M 42x2-SC ";"266,15 ";"L ";"7260 "
"160 ";"42 ";"M 48 x 2 ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-L-42-M 48x2-SC ";"359,29 ";"L ";"7261 "
"630 ";"6 ";"M 12 x 1,5 ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"17 ";"12 ";"17 ";"EVT-S-06-M 12x1,5-SC ";"39,44 ";"S ";"7262 "
"630 ";"8 ";"M 14 x 1,5 ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EVT-S-08-M 14x1,5-SC ";"45,5 ";"S ";"7263 "
"630 ";"10 ";"M 16 x 1,5 ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EVT-S-10-M 16x1,5-SC ";"50,48 ";"S ";"7264 "
"630 ";"12 ";"M 18 x 1,5 ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"24 ";"17 ";"24 ";"EVT-S-12-M 18x1,5-SC ";"54,67 ";"S ";"7265 "
"630 ";"14 ";"M 20 x 1,5 ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EVT-S-14-M 20x1,5-SC ";"73,65 ";"S ";"7266 "
"400 ";"16 ";"M 22 x 1,5 ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EVT-S-16-M 22x1,5-SC ";"91,58 ";"S ";"7267 "
"400 ";"20 ";"M 27 x 2 ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EVT-S-20-M 27x2-SC ";"123,55 ";"S ";"7268 "
"400 ";"25 ";"M 33 x 2 ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EVT-S-25-M 33x2-SC ";"193,25 ";"S ";"7269 "
"400 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-S-30-M 42x2-SC ";"248,52 ";"S ";"7270 "
"250 ";"38 ";"M 48 x 2 ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-S-38-M 48x2-SC ";"374,22 ";"S ";"7271 "
