"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EW-DKOL-06-G 1/8''-wd ";"29,39 ";"L ";"8661 "
"500 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"17 ";"12 ";"17 ";"EW-DKOL-08-G 1/4''-wd ";"30,92 ";"L ";"8662 "
"500 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EW-DKOL-10-G 1/4''-wd ";"38,54 ";"L ";"8663 "
"400 ";"12 ";"G 1/4'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"19 ";"17 ";"22 ";"EW-DKOL-12-G 1/4''-wd ";"45,6 ";"L ";"8664 "
"400 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EW-DKOL-12-G 3/8''-wd ";"42,82 ";"L ";"8665 "
"400 ";"12 ";"G 1/2'' ";"32 ";"17,0 ";"43,0 ";"29,5 ";"14 ";"27 ";"17 ";"22 ";"EW-DKOL-12-G 1/2''-wd ";"49,28 ";"L ";"8666 "
"400 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,0 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"EW-DKOL-15-G 1/2''-wd ";"52,07 ";"L ";"8667 "
"400 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EW-DKOL-18-G 1/2''-wd ";"74,11 ";"L ";"8668 "
"250 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EW-DKOL-22-G 3/4''-wd ";"94,97 ";"L ";"8669 "
"250 ";"28 ";"G 1'' ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"EW-DKOL-28-G 1''-wd ";"150,19 ";"L ";"8670 "
"250 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"68,5 ";"51,0 ";"20 ";"50 ";"41 ";"50 ";"EW-DKOL-35-G 1 1/4''-wd ";"202,83 ";"L ";"8671 "
"250 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EW-DKOL-42-G 1 1/2''-wd ";"299,8 ";"L ";"8672 "
"800 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"EW-DKOS-06-G 1/4''-wd ";"34,21 ";"S ";"8673 "
"800 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EW-DKOS-08-G 1/4''-wd ";"36,66 ";"S ";"8674 "
"800 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EW-DKOS-10-G 3/8''-wd ";"44,43 ";"S ";"8675 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"EW-DKOS-12-G 3/8''-wd ";"50,34 ";"S ";"8676 "
"630 ";"12 ";"G 1/2'' ";"38 ";"21,5 ";"49,0 ";"31,0 ";"14 ";"27 ";"17 ";"24 ";"EW-DKOS-12-G 1/2''-wd ";"56,06 ";"S ";"8677 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EW-DKOS-14-G 1/2''-wd ";"62,33 ";"S ";"8678 "
"630 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EW-DKOS-16-G 1/2''-wd ";"80,25 ";"S ";"8679 "
"420 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EW-DKOS-20-G 3/4''-wd ";"102,82 ";"S ";"8680 "
"420 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EW-DKOS-25-G 1''-wd ";"166,48 ";"S ";"8681 "
"420 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EW-DKOS-30-G 1 1/4''-wd ";"219,68 ";"S ";"8682 "
"420 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EW-DKOS-38-G 1 1/2''-wd ";"309,54 ";"S ";"8683 "
