"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"160 ";"22 ";"G 3/4'' zyl ";"44 ";"27,5 ";"26 ";"16 ";"27 ";"36 ";"WE-L-22-G 3/4''-z ";"43,59 ";"L ";"5160 "
"160 ";"28 ";"G 1'' zyl ";"47 ";"30,5 ";"30 ";"18 ";"36 ";"41 ";"WE-L-28-G 1''-z ";"89,48 ";"L ";"5161 "
"160 ";"35 ";"G 1 1/4'' zyl ";"56 ";"34,5 ";"34 ";"20 ";"41 ";"50 ";"WE-L-35-G 1 1/4''-z ";"148,28 ";"L ";"5162 "
"160 ";"42 ";"G 1 1/2'' zyl ";"63 ";"40,0 ";"39 ";"22 ";"50 ";"60 ";"WE-L-42-G 1 1/2''-z ";"196,85 ";"L ";"5163 "
"400 ";"20 ";"G 3/4'' zyl ";"48 ";"26,5 ";"26 ";"16 ";"27 ";"36 ";"WE-S-20-G 3/4''-z ";"45,68 ";"S ";"5164 "
"250 ";"25 ";"G 1'' zyl ";"54 ";"30,0 ";"30 ";"18 ";"36 ";"46 ";"WE-S-25-G 1''-z ";"99,7 ";"S ";"5165 "
"160 ";"30 ";"G 1 1/4'' zyl ";"62 ";"35,5 ";"34 ";"20 ";"41 ";"50 ";"WE-S-30-G 1 1/4''-z ";"148,28 ";"S ";"5166 "
"160 ";"38 ";"G 1 1/2'' zyl ";"72 ";"41,0 ";"39 ";"22 ";"50 ";"60 ";"WE-S-38-G 1 1/2''-z ";"204,52 ";"S ";"5167 "
