"Gewicht  Weight  kg";"    DN";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"0,35 ";"5 ";"100 ";"1/8''-27 NPT ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"69 ";"36 ";"M 5 ";"22 ";"9 ";"RKH-1/8''-NPT-4446 ";"";"";"10046 "
"0,35 ";"6 ";"100 ";"1/4''-18 NPT ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"17 ";"69 ";"36 ";"M 5 ";"22 ";"9 ";"RKH-1/4''-NPT-4446 ";"";"";"10047 "
"0,5 ";"10 ";"100 ";"3/8''-18 NPT ";"42 ";"49,5 ";"38 ";"8,0 ";"16,5 ";"17 ";"73 ";"43 ";"M 5 ";"27 ";"9 ";"RKH-3/8''-NPT-4446 ";"";"";"10048 "
"0,65 ";"13 ";"100 ";"1/2''-14 NPT ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"22 ";"92 ";"48 ";"M 5 ";"30 ";"9 ";"RKH-1/2''-NPT-4446 ";"";"";"10049 "
"1,5 ";"20 ";"100 ";"3/4''-14 NPT ";"60 ";"73,0 ";"57 ";"12,0 ";"24,5 ";"23 ";"97 ";"62 ";"M 6 ";"41 ";"14 ";"RKH-3/4''-NPT-4446 ";"";"";"10050 "
"1,8 ";"24 ";"100 ";"1''-11,5 NPT ";"65 ";"79,0 ";"63 ";"12,0 ";"28,0 ";"27 ";"113 ";"66 ";"M 6 ";"46 ";"14 ";"RKH-1''-NPT-4446 ";"";"";"10051 "
"3,8 ";"32 ";"100 ";"1 1/4''-11,5 NPT ";"90 ";"104,0 ";"84 ";"13,5 ";"38,0 ";"28 ";"115 ";"81 ";"M 8 ";"60 ";"17 ";"RKH-1 1/4''-NPT-4446 ";"";"";"10052 "
"6,1 ";"38 ";"100 ";"1 1/2''-11,5 NPT ";"100 ";"112,0 ";"93 ";"13,5 ";"42,5 ";"28 ";"135 ";"86 ";"M 8 ";"70 ";"17 ";"RKH-1 1/2''-NPT-4446 ";"";"";"10053 "
"9,1 ";"48 ";"100 ";"2''-11,5 NPT ";"120 ";"131,0 ";"111 ";"13,5 ";"50,0 ";"30 ";"140 ";"101 ";"M 8 ";"85 ";"17 ";"RKH-2''-NPT-4446 ";"";"";"10054 "
